47.0	42.0	82.0	69.5	32.0	2.0	0.0
47.0	42.0	81.9	69.5	32.0	2.0	0.0
46.9	42.0	81.7	69.4	32.0	2.0	0.0
46.8	41.9	81.6	69.2	32.0	2.0	0.0
46.8	41.9	81.5	69.1	32.0	2.0	0.0
46.8	41.9	81.4	69.1	32.0	2.0	0.0
46.9	41.9	81.2	69.0	32.1	2.0	0.0
46.6	41.8	81.2	68.8	32.0	2.0	0.0
46.8	41.8	81.0	68.7	32.0	2.0	0.0
46.7	41.8	80.9	68.7	32.0	2.0	0.0
46.6	41.8	80.8	68.6	32.0	2.0	0.0
46.6	41.8	80.6	68.4	32.0	1.9	0.0
46.5	41.7	80.5	68.4	31.9	1.9	0.0
46.5	41.7	80.4	68.4	32.0	1.9	0.0
46.5	41.6	80.3	68.2	32.0	1.9	0.0
46.5	41.7	80.1	68.1	32.0	1.9	0.0
46.4	41.5	80.1	68.1	32.0	1.9	0.0
46.5	41.6	80.0	68.0	32.0	1.9	0.0
46.4	41.6	79.8	67.9	32.0	1.9	0.0
46.3	41.5	79.7	67.8	32.0	1.9	0.0
46.3	41.5	79.6	67.7	32.0	1.9	0.0
46.2	41.5	79.5	67.5	32.0	1.9	0.0
46.2	41.4	79.3	67.5	32.0	1.9	0.0
46.1	41.4	79.2	67.3	32.0	1.9	0.0
46.2	41.4	79.1	67.2	32.0	1.9	0.0
46.2	41.4	79.0	67.2	32.0	1.9	0.0
46.1	41.3	78.9	67.1	32.0	1.9	0.0
45.9	41.3	78.8	67.1	32.0	1.9	0.0
46.0	41.2	78.6	66.9	32.0	1.9	0.0
45.9	41.3	78.5	66.9	32.0	1.9	0.0
45.9	41.2	78.5	66.8	32.0	1.9	0.0
45.9	41.3	78.3	66.7	31.9	1.9	0.0
45.8	41.2	78.2	66.6	32.0	1.8	0.0
45.7	41.3	78.1	66.5	32.0	1.8	0.0
45.8	41.1	77.8	66.5	32.0	1.8	0.0
45.7	41.1	77.7	66.3	32.0	1.8	0.0
45.7	41.2	77.8	66.3	32.0	1.8	0.0
45.7	41.2	77.7	66.2	32.0	1.8	0.0
45.7	41.1	77.5	66.0	32.0	1.8	0.0
